participant_id,timepoint,topics,response
P02,PRE,shader_programming,2
P02,POST,shader_programming,3
P02,PRE,shader_programming,3
P02,POST,shader_programming,4
P02,PRE,shader_programming,3
P02,POST,shader_programming,3
P02,PRE,shader_programming,3
P02,POST,shader_programming,4
P02,PRE,modern_gpu_api_concepts,3
P02,POST,modern_gpu_api_concepts,4
P02,PRE,modern_gpu_api_concepts,3
P02,POST,modern_gpu_api_concepts,4
P02,PRE,modern_gpu_api_concepts,3
P02,POST,modern_gpu_api_concepts,4
P02,PRE,modern_gpu_api_concepts,2
P02,POST,modern_gpu_api_concepts,3
P02,PRE,modern_gpu_api_concepts,2
P02,POST,modern_gpu_api_concepts,4
P02,PRE,modern_gpu_api_concepts,3
P02,POST,modern_gpu_api_concepts,4
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,3
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,4
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,3
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,4
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,2
P02,PRE,webgpu_specifics,1
P02,POST,webgpu_specifics,4
P02,PRE,confidence,3
P02,POST,confidence,4
P02,PRE,confidence,2
P02,POST,confidence,3
P02,PRE,confidence,2
P02,POST,confidence,3
P03,PRE,general,3
P03,POST,general,4
P03,PRE,general,2
P03,POST,general,3
P03,PRE,general,4
P03,POST,general,4
P03,PRE,general,3
P03,POST,general,3
P03,PRE,general,1
P03,POST,general,1
P03,PRE,shader_programming,4
P03,POST,shader_programming,4
P03,PRE,shader_programming,2
P03,POST,shader_programming,3
P03,PRE,shader_programming,1
P03,POST,shader_programming,2
P03,PRE,shader_programming,2
P03,POST,shader_programming,3
P03,PRE,shader_programming,2
P03,POST,shader_programming,2
P03,PRE,modern_gpu_api_concepts,2
P03,POST,modern_gpu_api_concepts,3
P03,PRE,modern_gpu_api_concepts,1
P03,POST,modern_gpu_api_concepts,3
P03,PRE,modern_gpu_api_concepts,1
P03,POST,modern_gpu_api_concepts,2
P03,PRE,modern_gpu_api_concepts,1
P03,POST,modern_gpu_api_concepts,3
P03,PRE,modern_gpu_api_concepts,1
P03,POST,modern_gpu_api_concepts,4
P03,PRE,modern_gpu_api_concepts,1
P03,POST,modern_gpu_api_concepts,3
P03,PRE,webgpu_specifics,1
P03,POST,webgpu_specifics,2
P03,PRE,webgpu_specifics,2
P03,POST,webgpu_specifics,4
P03,PRE,webgpu_specifics,1
P03,POST,webgpu_specifics,2
P03,PRE,webgpu_specifics,1
P03,POST,webgpu_specifics,3
P03,PRE,webgpu_specifics,1
P03,POST,webgpu_specifics,2
P03,PRE,webgpu_specifics,2
P03,POST,webgpu_specifics,3
P03,PRE,confidence,3
P03,POST,confidence,3
P03,PRE,confidence,3
P03,POST,confidence,4
P03,PRE,confidence,3
P03,POST,confidence,3
P04,PRE,general,3
P04,POST,general,3
P04,PRE,general,1
P04,POST,general,2
P04,PRE,general,2
P04,POST,general,3
P04,PRE,general,1
P04,POST,general,1
P04,PRE,general,1
P04,POST,general,1
P04,PRE,shader_programming,1
P04,POST,shader_programming,2
P04,PRE,shader_programming,1
P04,POST,shader_programming,2
P04,PRE,shader_programming,1
P04,POST,shader_programming,2
P04,PRE,shader_programming,1
P04,POST,shader_programming,2
P04,PRE,shader_programming,1
P04,POST,shader_programming,1
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,modern_gpu_api_concepts,1
P04,POST,modern_gpu_api_concepts,2
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,2
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,3
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,1
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,1
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,2
P04,PRE,webgpu_specifics,1
P04,POST,webgpu_specifics,1
P04,PRE,confidence,1
P04,POST,confidence,2
P04,PRE,confidence,1
P04,POST,confidence,2
P04,PRE,confidence,1
P04,POST,confidence,2
P05,PRE,general,4
P05,POST,general,4
P05,PRE,general,4
P05,POST,general,4
P05,PRE,general,4
P05,POST,general,4
P05,PRE,general,4
P05,POST,general,4
P05,PRE,general,4
P05,POST,general,4
P05,PRE,shader_programming,3
P05,POST,shader_programming,3
P05,PRE,shader_programming,4
P05,POST,shader_programming,4
P05,PRE,shader_programming,4
P05,POST,shader_programming,4
P05,PRE,shader_programming,4
P05,POST,shader_programming,4
P05,PRE,shader_programming,4
P05,POST,shader_programming,4
P05,PRE,modern_gpu_api_concepts,4
P05,POST,modern_gpu_api_concepts,4
P05,PRE,modern_gpu_api_concepts,3
P05,POST,modern_gpu_api_concepts,4
P05,PRE,modern_gpu_api_concepts,4
P05,POST,modern_gpu_api_concepts,4
P05,PRE,modern_gpu_api_concepts,3
P05,POST,modern_gpu_api_concepts,4
P05,PRE,modern_gpu_api_concepts,4
P05,POST,modern_gpu_api_concepts,4
P05,PRE,modern_gpu_api_concepts,4
P05,POST,modern_gpu_api_concepts,4
P05,PRE,webgpu_specifics,2
P05,POST,webgpu_specifics,4
P05,PRE,webgpu_specifics,3
P05,POST,webgpu_specifics,4
P05,PRE,webgpu_specifics,1
P05,POST,webgpu_specifics,4
P05,PRE,webgpu_specifics,2
P05,POST,webgpu_specifics,4
P05,PRE,webgpu_specifics,1
P05,POST,webgpu_specifics,4
P05,PRE,webgpu_specifics,3
P05,POST,webgpu_specifics,4
P05,PRE,confidence,3
P05,POST,confidence,4
P05,PRE,confidence,3
P05,POST,confidence,4
P05,PRE,confidence,3
P05,POST,confidence,4
P06,PRE,general,4
P06,POST,general,4
P06,PRE,general,4
P06,POST,general,4
P06,PRE,general,4
P06,POST,general,4
P06,PRE,general,4
P06,POST,general,4
P06,PRE,general,3
P06,POST,general,3
P06,PRE,shader_programming,4
P06,POST,shader_programming,4
P06,PRE,shader_programming,4
P06,POST,shader_programming,4
P06,PRE,shader_programming,4
P06,POST,shader_programming,4
P06,PRE,shader_programming,3
P06,POST,shader_programming,4
P06,PRE,shader_programming,3
P06,POST,shader_programming,4
P06,PRE,modern_gpu_api_concepts,3
P06,POST,modern_gpu_api_concepts,3
P06,PRE,modern_gpu_api_concepts,3
P06,POST,modern_gpu_api_concepts,4
P06,PRE,modern_gpu_api_concepts,4
P06,POST,modern_gpu_api_concepts,3
P06,PRE,modern_gpu_api_concepts,4
P06,POST,modern_gpu_api_concepts,4
P06,PRE,modern_gpu_api_concepts,4
P06,POST,modern_gpu_api_concepts,4
P06,PRE,modern_gpu_api_concepts,3
P06,POST,modern_gpu_api_concepts,4
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,2
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,3
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,3
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,2
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,3
P06,PRE,webgpu_specifics,1
P06,POST,webgpu_specifics,3
P06,PRE,confidence,4
P06,POST,confidence,4
P06,PRE,confidence,4
P06,POST,confidence,4
P06,PRE,confidence,4
P06,POST,confidence,4
P07,PRE,general,3
P07,POST,general,3
P07,PRE,general,1
P07,POST,general,3
P07,PRE,general,1
P07,POST,general,2
P07,PRE,general,1
P07,POST,general,1
P07,PRE,general,1
P07,POST,general,1
P07,PRE,shader_programming,1
P07,POST,shader_programming,1
P07,PRE,shader_programming,1
P07,POST,shader_programming,3
P07,PRE,shader_programming,1
P07,POST,shader_programming,3
P07,PRE,shader_programming,1
P07,POST,shader_programming,3
P07,PRE,shader_programming,1
P07,POST,shader_programming,2
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,3
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,3
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,3
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,2
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,3
P07,PRE,modern_gpu_api_concepts,1
P07,POST,modern_gpu_api_concepts,3
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,1
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,3
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,1
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,3
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,1
P07,PRE,webgpu_specifics,1
P07,POST,webgpu_specifics,3
P07,PRE,confidence,1
P07,POST,confidence,3
P07,PRE,confidence,1
P07,POST,confidence,2
P07,PRE,confidence,1
P07,POST,confidence,2
P08,PRE,general,3
P08,POST,general,4
P08,PRE,general,2
P08,POST,general,3
P08,PRE,general,2
P08,POST,general,3
P08,PRE,general,1
P08,POST,general,2
P08,PRE,general,3
P08,POST,general,3
P08,PRE,shader_programming,1
P08,POST,shader_programming,2
P08,PRE,shader_programming,2
P08,POST,shader_programming,3
P08,PRE,shader_programming,3
P08,POST,shader_programming,3
P08,PRE,shader_programming,2
P08,POST,shader_programming,3
P08,PRE,shader_programming,3
P08,POST,shader_programming,3
P08,PRE,modern_gpu_api_concepts,3
P08,POST,modern_gpu_api_concepts,3
P08,PRE,modern_gpu_api_concepts,2
P08,POST,modern_gpu_api_concepts,3
P08,PRE,modern_gpu_api_concepts,2
P08,POST,modern_gpu_api_concepts,3
P08,PRE,modern_gpu_api_concepts,3
P08,POST,modern_gpu_api_concepts,3
P08,PRE,modern_gpu_api_concepts,3
P08,POST,modern_gpu_api_concepts,3
P08,PRE,modern_gpu_api_concepts,2
P08,POST,modern_gpu_api_concepts,3
P08,PRE,webgpu_specifics,4
P08,POST,webgpu_specifics,4
P08,PRE,webgpu_specifics,3
P08,POST,webgpu_specifics,3
P08,PRE,webgpu_specifics,2
P08,POST,webgpu_specifics,3
P08,PRE,webgpu_specifics,2
P08,POST,webgpu_specifics,3
P08,PRE,webgpu_specifics,2
P08,POST,webgpu_specifics,3
P08,PRE,webgpu_specifics,4
P08,POST,webgpu_specifics,4
P08,PRE,confidence,2
P08,POST,confidence,2
P08,PRE,confidence,2
P08,POST,confidence,2
P08,PRE,confidence,2
P08,POST,confidence,2
P09,PRE,general,3
P09,POST,general,4
P09,PRE,general,2
P09,POST,general,3
P09,PRE,general,4
P09,POST,general,3
P09,PRE,general,3
P09,POST,general,3
P09,PRE,general,1
P09,POST,general,3
P09,PRE,shader_programming,1
P09,POST,shader_programming,1
P09,PRE,shader_programming,1
P09,POST,shader_programming,3
P09,PRE,shader_programming,2
P09,POST,shader_programming,3
P09,PRE,shader_programming,2
P09,POST,shader_programming,3
P09,PRE,shader_programming,1
P09,POST,shader_programming,3
P09,PRE,modern_gpu_api_concepts,1
P09,POST,modern_gpu_api_concepts,3
P09,PRE,modern_gpu_api_concepts,2
P09,POST,modern_gpu_api_concepts,2
P09,PRE,modern_gpu_api_concepts,2
P09,POST,modern_gpu_api_concepts,3
P09,PRE,modern_gpu_api_concepts,1
P09,POST,modern_gpu_api_concepts,2
P09,PRE,modern_gpu_api_concepts,1
P09,POST,modern_gpu_api_concepts,3
P09,PRE,modern_gpu_api_concepts,1
P09,POST,modern_gpu_api_concepts,3
P09,PRE,webgpu_specifics,4
P09,POST,webgpu_specifics,4
P09,PRE,webgpu_specifics,1
P09,POST,webgpu_specifics,2
P09,PRE,webgpu_specifics,1
P09,POST,webgpu_specifics,3
P09,PRE,webgpu_specifics,1
P09,POST,webgpu_specifics,3
P09,PRE,webgpu_specifics,1
P09,POST,webgpu_specifics,3
P09,PRE,webgpu_specifics,1
P09,POST,webgpu_specifics,3
P09,PRE,confidence,2
P09,POST,confidence,4
P09,PRE,confidence,1
P09,POST,confidence,3
P09,PRE,confidence,1
P09,POST,confidence,2
P10,PRE,general,4
P10,POST,general,3
P10,PRE,general,1
P10,POST,general,4
P10,PRE,general,3
P10,POST,general,2
P10,PRE,general,1
P10,POST,general,1
P10,PRE,general,1
P10,POST,general,1
P10,PRE,shader_programming,1
P10,POST,shader_programming,2
P10,PRE,shader_programming,1
P10,POST,shader_programming,3
P10,PRE,shader_programming,1
P10,POST,shader_programming,4
P10,PRE,shader_programming,1
P10,POST,shader_programming,2
P10,PRE,shader_programming,1
P10,POST,shader_programming,2
P10,PRE,modern_gpu_api_concepts,1
P10,POST,modern_gpu_api_concepts,2
P10,PRE,modern_gpu_api_concepts,2
P10,POST,modern_gpu_api_concepts,3
P10,PRE,modern_gpu_api_concepts,2
P10,POST,modern_gpu_api_concepts,2
P10,PRE,modern_gpu_api_concepts,1
P10,POST,modern_gpu_api_concepts,2
P10,PRE,modern_gpu_api_concepts,1
P10,POST,modern_gpu_api_concepts,3
P10,PRE,modern_gpu_api_concepts,1
P10,POST,modern_gpu_api_concepts,1
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,2
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,3
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,2
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,2
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,3
P10,PRE,webgpu_specifics,1
P10,POST,webgpu_specifics,3
P10,PRE,confidence,1
P10,POST,confidence,2
P10,PRE,confidence,2
P10,POST,confidence,1
P10,PRE,confidence,1
P10,POST,confidence,2
P11,PRE,general,3
P11,POST,general,4
P11,PRE,general,3
P11,POST,general,4
P11,PRE,general,4
P11,POST,general,4
P11,PRE,general,2
P11,POST,general,2
P11,PRE,general,1
P11,POST,general,4
P11,PRE,shader_programming,4
P11,POST,shader_programming,4
P11,PRE,shader_programming,3
P11,POST,shader_programming,4
P11,PRE,shader_programming,3
P11,POST,shader_programming,3
P11,PRE,shader_programming,2
P11,POST,shader_programming,3
P11,PRE,shader_programming,2
P11,POST,shader_programming,3
P11,PRE,modern_gpu_api_concepts,2
P11,POST,modern_gpu_api_concepts,4
P11,PRE,modern_gpu_api_concepts,2
P11,POST,modern_gpu_api_concepts,4
P11,PRE,modern_gpu_api_concepts,2
P11,POST,modern_gpu_api_concepts,3
P11,PRE,modern_gpu_api_concepts,1
P11,POST,modern_gpu_api_concepts,4
P11,PRE,modern_gpu_api_concepts,3
P11,POST,modern_gpu_api_concepts,4
P11,PRE,modern_gpu_api_concepts,3
P11,POST,modern_gpu_api_concepts,3
P11,PRE,webgpu_specifics,2
P11,POST,webgpu_specifics,3
P11,PRE,webgpu_specifics,1
P11,POST,webgpu_specifics,4
P11,PRE,webgpu_specifics,1
P11,POST,webgpu_specifics,4
P11,PRE,webgpu_specifics,1
P11,POST,webgpu_specifics,3
P11,PRE,webgpu_specifics,1
P11,POST,webgpu_specifics,3
P11,PRE,webgpu_specifics,3
P11,POST,webgpu_specifics,4
P11,PRE,confidence,3
P11,POST,confidence,4
P11,PRE,confidence,2
P11,POST,confidence,3
P11,PRE,confidence,2
P11,POST,confidence,2
P12,PRE,general,3
P12,POST,general,3
P12,PRE,general,3
P12,POST,general,3
P12,PRE,general,3
P12,POST,general,3
P12,PRE,general,3
P12,POST,general,3
P12,PRE,general,1
P12,POST,general,1
P12,PRE,shader_programming,3
P12,POST,shader_programming,3
P12,PRE,shader_programming,3
P12,POST,shader_programming,4
P12,PRE,shader_programming,2
P12,POST,shader_programming,4
P12,PRE,shader_programming,2
P12,POST,shader_programming,4
P12,PRE,shader_programming,2
P12,POST,shader_programming,4
P12,PRE,modern_gpu_api_concepts,2
P12,POST,modern_gpu_api_concepts,3
P12,PRE,modern_gpu_api_concepts,2
P12,POST,modern_gpu_api_concepts,3
P12,PRE,modern_gpu_api_concepts,2
P12,POST,modern_gpu_api_concepts,3
P12,PRE,modern_gpu_api_concepts,1
P12,POST,modern_gpu_api_concepts,3
P12,PRE,modern_gpu_api_concepts,1
P12,POST,modern_gpu_api_concepts,3
P12,PRE,modern_gpu_api_concepts,1
P12,POST,modern_gpu_api_concepts,3
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,1
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,3
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,2
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,2
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,1
P12,PRE,webgpu_specifics,1
P12,POST,webgpu_specifics,1
P12,PRE,confidence,2
P12,POST,confidence,2
P12,PRE,confidence,2
P12,POST,confidence,2
P12,PRE,confidence,2
P12,POST,confidence,2
P13,PRE,general,4
P13,POST,general,4
P13,PRE,general,3
P13,POST,general,4
P13,PRE,general,4
P13,POST,general,4
P13,PRE,general,2
P13,POST,general,2
P13,PRE,general,4
P13,POST,general,4
P13,PRE,shader_programming,4
P13,POST,shader_programming,4
P13,PRE,shader_programming,4
P13,POST,shader_programming,4
P13,PRE,shader_programming,2
P13,POST,shader_programming,2
P13,PRE,shader_programming,3
P13,POST,shader_programming,3
P13,PRE,shader_programming,1
P13,POST,shader_programming,4
P13,PRE,modern_gpu_api_concepts,1
P13,POST,modern_gpu_api_concepts,1
P13,PRE,modern_gpu_api_concepts,1
P13,POST,modern_gpu_api_concepts,3
P13,PRE,modern_gpu_api_concepts,1
P13,POST,modern_gpu_api_concepts,1
P13,PRE,modern_gpu_api_concepts,1
P13,POST,modern_gpu_api_concepts,1
P13,PRE,modern_gpu_api_concepts,3
P13,POST,modern_gpu_api_concepts,3
P13,PRE,modern_gpu_api_concepts,1
P13,POST,modern_gpu_api_concepts,1
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,1
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,3
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,1
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,1
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,1
P13,PRE,webgpu_specifics,1
P13,POST,webgpu_specifics,1
P13,PRE,confidence,2
P13,POST,confidence,2
P13,PRE,confidence,1
P13,POST,confidence,1
P13,PRE,confidence,2
P13,POST,confidence,1
P14,PRE,general,2
P14,POST,general,3
P14,PRE,general,1
P14,POST,general,4
P14,PRE,general,2
P14,POST,general,2
P14,PRE,general,1
P14,POST,general,1
P14,PRE,general,1
P14,POST,general,2
P14,PRE,shader_programming,1
P14,POST,shader_programming,4
P14,PRE,shader_programming,1
P14,POST,shader_programming,4
P14,PRE,shader_programming,1
P14,POST,shader_programming,2
P14,PRE,shader_programming,1
P14,POST,shader_programming,2
P14,PRE,shader_programming,1
P14,POST,shader_programming,3
P14,PRE,modern_gpu_api_concepts,1
P14,POST,modern_gpu_api_concepts,2
P14,PRE,modern_gpu_api_concepts,1
P14,POST,modern_gpu_api_concepts,2
P14,PRE,modern_gpu_api_concepts,1
P14,POST,modern_gpu_api_concepts,2
P14,PRE,modern_gpu_api_concepts,1
P14,POST,modern_gpu_api_concepts,2
P14,PRE,modern_gpu_api_concepts,2
P14,POST,modern_gpu_api_concepts,4
P14,PRE,modern_gpu_api_concepts,1
P14,POST,modern_gpu_api_concepts,2
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,2
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,3
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,2
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,2
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,1
P14,PRE,webgpu_specifics,1
P14,POST,webgpu_specifics,2
P14,PRE,confidence,1
P14,POST,confidence,3
P14,PRE,confidence,2
P14,POST,confidence,2
P14,PRE,confidence,1
P14,POST,confidence,1
